所有倍率 = 相对事件开始价的锚定价格倍率

EVENT|全球干旱|unlock=0|goods=wheat,coffee,tea,coal
A1|干旱快速扩散，农作物减产预期升温，工业限电导致煤炭需求走弱。|mults={"wheat":1.8,"coffee":1.7,"tea":1.6,"coal":0.6}
B1-1|虫灾爆发，农作物进一步受损，煤炭继续承压。|mults={"wheat":2.8,"coffee":2.5,"tea":2.3,"coal":0.5}
C1-1-1|全球粮食危机，粮价暴涨，煤炭崩盘。|super=true|mults={"wheat":10,"coffee":8,"tea":7,"coal":0.15}
C1-1-2|抢购潮后市场崩盘，农产品暴跌，煤炭反而大涨。|super=true|mults={"wheat":0.1,"coffee":0.15,"tea":0.18,"coal":3.5}
C1-1-3|市场高位震荡，农产品维持强势，煤炭低位徘徊。|super=false|mults={"wheat":4.5,"coffee":4,"tea":3.8,"coal":0.8}
B1-2|水库见底，旱情彻底失控，煤炭需求进一步下滑。|mults={"wheat":3.2,"coffee":2.8,"tea":2.5,"coal":0.4}
C1-2-1|粮食价格完全失控，小麦史诗级暴涨，煤炭崩盘。|super=true|mults={"wheat":12,"coffee":10,"tea":8.5,"coal":0.1}
C1-2-2|政府紧急放水，农产品降温，煤炭小幅修复。|super=false|mults={"wheat":4,"coffee":3.8,"tea":3.5,"coal":1.1}
C1-2-3|局部绝收，粮价继续走高，煤炭低迷。|super=false|mults={"wheat":5.5,"coffee":5,"tea":4.5,"coal":0.4}
B1-3|国际粮价联动，全球资本涌入农产品，煤炭被冷落。|mults={"wheat":2.5,"coffee":2.3,"tea":2.1,"coal":0.7}
C1-3-1|全球抢粮，农产品全面暴涨，煤炭弱势。|super=false|mults={"wheat":6,"coffee":5.5,"tea":5,"coal":0.5}
C1-3-2|国际援助到达，农产品回落，煤炭企稳。|super=false|mults={"wheat":3.5,"coffee":3.5,"tea":3.2,"coal":1.3}
C1-3-3|多国实施贸易保护，粮价走高，煤炭受拖累。|super=false|mults={"wheat":5,"coffee":4.5,"tea":4.2,"coal":0.6}
